From	Entry	Entry.Name
ENSMUST00000097193	D3Z2K2	D3Z2K2_MOUSE
ENSMUST00000119161	Q7M739	Q7M739_MOUSE
ENSMUST00000111669	Q8BYI9	TENR_MOUSE
ENSMUST00000111620	Q14A61	Q14A61_MOUSE
ENSMUST00000107582	Q9WTL4	INSRR_MOUSE
ENSMUST00000107559	Q63943	MEF2D_MOUSE
ENSMUST00000111350	A0A0R4J1F6	A0A0R4J1F6_MOUSE
ENSMUST00000112087	P50752	TNNT2_MOUSE
ENSMUST00000112068	Q02789	CAC1S_MOUSE
ENSMUST00000111618	Q14A61	Q14A61_MOUSE
ENSMUST00000081695	Q9DB00	GON4L_MOUSE
ENSMUST00000081695	E9Q507	E9Q507_MOUSE
ENSMUST00000086130	Q91XT4	SC16B_MOUSE
ENSMUST00000097543	Q920Q8	NS1BP_MOUSE
ENSMUST00000111276	A0A0R4J2D8	A0A0R4J2D8_MOUSE
ENSMUST00000107510	Q60875	ARHG2_MOUSE
ENSMUST00000111720	Q640P2	ANGL1_MOUSE
ENSMUST00000111611	Q8VCK5	KLH20_MOUSE
ENSMUST00000107558	E9QKT0	E9QKT0_MOUSE
ENSMUST00000111525	Q8VHG0	FMO4_MOUSE
ENSMUST00000112085	K3W4R6	K3W4R6_MOUSE
ENSMUST00000120697	Q3UXS0	Q3UXS0_MOUSE
ENSMUST00000111518	Q8C9C1	Q8C9C1_MOUSE
ENSMUST00000121533	A0A0A0MQF7	A0A0A0MQF7_MOUSE
ENSMUST00000107581	Q9QXK9	SH22A_MOUSE
ENSMUST00000111700	Q91XT4	SC16B_MOUSE
ENSMUST00000086032	Q8R2X8	GO45_MOUSE
ENSMUST00000098941	E9Q855	E9Q855_MOUSE
ENSMUST00000117950	Q9CR23	TMEM9_MOUSE
ENSMUST00000111926	Q9DBX5	Q9DBX5_MOUSE
ENSMUST00000119002	D3YTS4	D3YTS4_MOUSE
ENSMUST00000111510	Q8K2I3	FMO2_MOUSE
ENSMUST00000111277	E9PV93	E9PV93_MOUSE
ENSMUST00000090933	Q99MY8	ASH1L_MOUSE
ENSMUST00000124558	H3BL40	H3BL40_MOUSE
ENSMUST00000078878	M0QWY3	M0QWY3_MOUSE
ENSMUST00000120447	Q8R2X8	GO45_MOUSE
ENSMUST00000117467	Q8VCK5	KLH20_MOUSE
ENSMUST00000117293	D3YVU8	D3YVU8_MOUSE
ENSMUST00000111901	E9QQ18	E9QQ18_MOUSE
ENSMUST00000111883	Q9DBQ9	SWT1_MOUSE
ENSMUST00000097493	Q3TQQ9	CA112_MOUSE
ENSMUST00000076110	Q9CQJ4	RING2_MOUSE
ENSMUST00000111902	E9QQ17	E9QQ17_MOUSE
ENSMUST00000078308	E9PW37	E9PW37_MOUSE
ENSMUST00000086084	Q7TS55	TNF18_MOUSE
ENSMUST00000077642	P70188	KIFA3_MOUSE
ENSMUST00000085913	Q6PIE5	AT1A2_MOUSE
ENSMUST00000111887	Q920Q8	NS1BP_MOUSE
ENSMUST00000096608	G5E8L9	G5E8L9_MOUSE
ENSMUST00000107498	E9Q507	E9Q507_MOUSE
ENSMUST00000111351	Q3UHZ7	Q3UHZ7_MOUSE
ENSMUST00000119251	E9Q5E0	E9Q5E0_MOUSE
ENSMUST00000124289	D6RH55	D6RH55_MOUSE
ENSMUST00000124484	F6R5D8	F6R5D8_MOUSE
ENSMUST00000111836	Q5RJH6	SMG7_MOUSE
ENSMUST00000112086	K3W4R7	K3W4R7_MOUSE
ENSMUST00000112064	Q02789	CAC1S_MOUSE
ENSMUST00000119109	Q8R4Z4	ETV3_MOUSE
ENSMUST00000123006	F6XQM2	F6XQM2_MOUSE
ENSMUST00000111235	Q05BQ1	TUTLA_MOUSE
ENSMUST00000169017	E9PUV2	E9PUV2_MOUSE
ENSMUST00000134098	Q3UNX7	Q3UNX7_MOUSE
ENSMUST00000159035	E0CY90	E0CY90_MOUSE
ENSMUST00000172057	Q9ERD6	RGPS2_MOUSE
ENSMUST00000159969	A0A0B4J1E6	A0A0B4J1E6_MOUSE
ENSMUST00000172388	A0A0A0MQN0	A0A0A0MQN0_MOUSE
ENSMUST00000130864	E9Q0A4	E9Q0A4_MOUSE
ENSMUST00000160926	E0CX91	E0CX91_MOUSE
ENSMUST00000171381	F6ZSF2	F6ZSF2_MOUSE
ENSMUST00000129939	F6V527	F6V527_MOUSE
ENSMUST00000176539	H3BL15	H3BL15_MOUSE
ENSMUST00000176316	H3BLJ1	H3BLJ1_MOUSE
ENSMUST00000159316	H3BLK3	H3BLK3_MOUSE
ENSMUST00000131058	D3Z0T2	D3Z0T2_MOUSE
ENSMUST00000176220	H3BLQ8	H3BLQ8_MOUSE
ENSMUST00000169409	E9PZR4	E9PZR4_MOUSE
ENSMUST00000161865	F7CNJ1	F7CNJ1_MOUSE
ENSMUST00000161320	E0CXA1	E0CXA1_MOUSE
ENSMUST00000167317	E9PZR4	E9PZR4_MOUSE
ENSMUST00000160641	A0A8I4RSM0	A0A8I4RSM0_MOUSE
ENSMUST00000159861	E9PZ87	E9PZ87_MOUSE
ENSMUST00000136479	E9Q9E8	E9Q9E8_MOUSE
ENSMUST00000143486	M0QWX6	M0QWX6_MOUSE
ENSMUST00000154750	D6RI66	D6RI66_MOUSE
ENSMUST00000164600	E0CZ58	E0CZ58_MOUSE
ENSMUST00000146873	F6Q2Y9	F6Q2Y9_MOUSE
ENSMUST00000161908	Q9DBQ7	PACE1_MOUSE
ENSMUST00000129880	D3YWZ9	D3YWZ9_MOUSE
ENSMUST00000175745	H3BJM4	H3BJM4_MOUSE
ENSMUST00000166393	F6QRT3	F6QRT3_MOUSE
ENSMUST00000159230	Q9EQN9	S19A2_MOUSE
ENSMUST00000143485	D3YVD1	D3YVD1_MOUSE
ENSMUST00000171292	Q9ERD6	RGPS2_MOUSE
ENSMUST00000132158	Q8BSN6	Q8BSN6_MOUSE
ENSMUST00000172042	E9PUU1	E9PUU1_MOUSE
ENSMUST00000167812	A0A087WQQ4	A0A087WQQ4_MOUSE
ENSMUST00000124973	F6ZDS4	TPR_MOUSE
ENSMUST00000159817	E9PYK1	E9PYK1_MOUSE
ENSMUST00000169394	E9Q2R3	E9Q2R3_MOUSE
ENSMUST00000170036	Q8R4Z4	ETV3_MOUSE
ENSMUST00000135192	Q8CIE6	COPA_MOUSE
ENSMUST00000143358	D3Z7S1	D3Z7S1_MOUSE
ENSMUST00000164179	E9PVR4	E9PVR4_MOUSE
ENSMUST00000162234	Q9DBQ7	PACE1_MOUSE
ENSMUST00000127482	Q05BQ1	TUTLA_MOUSE
ENSMUST00000147962	D3Z4J8	D3Z4J8_MOUSE
ENSMUST00000164044	A0A0B4J1M6	A0A0B4J1M6_MOUSE
ENSMUST00000150040	O70480	VAMP4_MOUSE
ENSMUST00000175911	Q60875	ARHG2_MOUSE
ENSMUST00000144916	D3Z2C5	D3Z2C5_MOUSE
ENSMUST00000141249	V9GXL8	V9GXL8_MOUSE
ENSMUST00000170359	Q9DBQ7	PACE1_MOUSE
ENSMUST00000169286	Q8K192	Q8K192_MOUSE
ENSMUST00000152403	F6XJN3	F6XJN3_MOUSE
ENSMUST00000153527	A0A087WRB0	A0A087WRB0_MOUSE
ENSMUST00000135267	D3Z7T6	D3Z7T6_MOUSE
ENSMUST00000155802	A0A0R4J0K5	A0A0R4J0K5_MOUSE
ENSMUST00000127206	O08849	RGS2_MOUSE
ENSMUST00000127052	D3YZD2	D3YZD2_MOUSE
ENSMUST00000170653	Q60875	ARHG2_MOUSE
ENSMUST00000134543	D3Z1T6	D3Z1T6_MOUSE
ENSMUST00000163260	P97350	PKP1_MOUSE
ENSMUST00000165125	Q9CR23	TMEM9_MOUSE
ENSMUST00000175779	H3BJ40	H3BJ40_MOUSE
ENSMUST00000141977	F7ABE5	F7ABE5_MOUSE
ENSMUST00000135680	Q9CR88	RT14_MOUSE
ENSMUST00000175903	H3BJX8	H3BJX8_MOUSE
ENSMUST00000170420	G3UW79	G3UW79_MOUSE
ENSMUST00000131919	E9Q1F6	E9Q1F6_MOUSE
ENSMUST00000162367	A0A0R4J207	A0A0R4J207_MOUSE
ENSMUST00000161589	F6TFC9	F6TFC9_MOUSE
ENSMUST00000143123	D3YVR1	D3YVR1_MOUSE
ENSMUST00000159688	E9Q415	E9Q415_MOUSE
ENSMUST00000159617	F7DEW2	F7DEW2_MOUSE
ENSMUST00000159879	O08848	RO60_MOUSE
ENSMUST00000151563	F6RX08	F6RX08_MOUSE
ENSMUST00000143463	M0QWN5	M0QWN5_MOUSE
ENSMUST00000159516	F6TFM1	F6TFM1_MOUSE
ENSMUST00000166341	Q9D219	BCL9_MOUSE
ENSMUST00000176243	H3BLF9	H3BLF9_MOUSE
ENSMUST00000129925	D6RIK1	D6RIK1_MOUSE
ENSMUST00000130043	F6VV25	F6VV25_MOUSE
ENSMUST00000176307	H3BJ48	H3BJ48_MOUSE
ENSMUST00000163252	F6ZTK6	F6ZTK6_MOUSE
ENSMUST00000155003	O70480	VAMP4_MOUSE
ENSMUST00000135386	A0A0R4J1S4	A0A0R4J1S4_MOUSE
ENSMUST00000176500	H3BJ40	H3BJ40_MOUSE
ENSMUST00000165062	Q9QW08	PHOS_MOUSE
ENSMUST00000132699	D3YUS5	D3YUS5_MOUSE
ENSMUST00000171447	F7BAT9	F7BAT9_MOUSE
ENSMUST00000161611	E0CZ58	E0CZ58_MOUSE
ENSMUST00000135241	O70480	VAMP4_MOUSE
ENSMUST00000174397	G3UZ44	G3UZ44_MOUSE
ENSMUST00000168126	Q1WLP7	Q1WLP7_MOUSE
ENSMUST00000140274	D3YUF0	D3YUF0_MOUSE
ENSMUST00000197081	A0A0G2JF05	A0A0G2JF05_MOUSE
ENSMUST00000176879	H3BIX8	H3BIX8_MOUSE
ENSMUST00000176804	H3BKH9	H3BKH9_MOUSE
ENSMUST00000179863	Q6P3Z7	Q6P3Z7_MOUSE
ENSMUST00000185493	A0A087WP81	A0A087WP81_MOUSE
ENSMUST00000191936	A0A0A6YXS8	A0A0A6YXS8_MOUSE
ENSMUST00000185714	A0A087WS51	A0A087WS51_MOUSE
ENSMUST00000192850	Q05CX4	Q05CX4_MOUSE
ENSMUST00000190762	A0A087WPL3	A0A087WPL3_MOUSE
ENSMUST00000187048	Q9CQJ4	RING2_MOUSE
ENSMUST00000189413	L0N7N1	KIF14_MOUSE
ENSMUST00000189826	A0A087WRX3	A0A087WRX3_MOUSE
ENSMUST00000185539	A0A087WRL3	A0A087WRL3_MOUSE
ENSMUST00000189732	P50752	TNNT2_MOUSE
ENSMUST00000182393	S4R209	S4R209_MOUSE
ENSMUST00000194797	Q3TAZ6	Q3TAZ6_MOUSE
ENSMUST00000182755	S4R1M0	S4R1M0_MOUSE
ENSMUST00000189061	Q9JL25	RGS1_MOUSE
ENSMUST00020183807	A0A8I4SYD0	A0A8I4SYD0_MOUSE
ENSMUST00000191975	A0A0A6YWN8	A0A0A6YWN8_MOUSE
ENSMUST00000189316	Q8C134	Q8C134_MOUSE
ENSMUST00000190070	A0A087WP87	A0A087WP87_MOUSE
ENSMUST00000195654	A0A0A6YY29	A0A0A6YY29_MOUSE
ENSMUST00000182149	S4R294	S4R294_MOUSE
ENSMUST00000186745	Q920Q8	NS1BP_MOUSE
ENSMUST00000195584	Q8BL42	Q8BL42_MOUSE
ENSMUST00000187507	A0A087WNN8	A0A087WNN8_MOUSE
ENSMUST00020183806	A0A8I4SX68	A0A8I4SX68_MOUSE
ENSMUST00000191605	Q9ERD6	RGPS2_MOUSE
ENSMUST00000185164	V9GXV7	V9GXV7_MOUSE
ENSMUST00000190648	A0A087WQ61	A0A087WQ61_MOUSE
ENSMUST00000186415	A0A087WRE9	A0A087WRE9_MOUSE
ENSMUST00000185356	G5E874	G5E874_MOUSE
ENSMUST00000188027	A0A087WSJ5	A0A087WSJ5_MOUSE
ENSMUST00020183802	A0A8I4T097	A0A8I4T097_MOUSE
ENSMUST00000186568	O70145	NCF2_MOUSE
ENSMUST00000194455	A0A0A6YX85	A0A0A6YX85_MOUSE
ENSMUST00000192195	A0A0R4J2D8	A0A0R4J2D8_MOUSE
ENSMUST00000194855	Q05CX4	Q05CX4_MOUSE
ENSMUST00000187603	Q8K207	CA021_MOUSE
ENSMUST00000194531	A0A0R4J2D6	A0A0R4J2D6_MOUSE
ENSMUST00000177303	H3BJU7	H3BJU7_MOUSE
ENSMUST00000192929	Q1WLP7	Q1WLP7_MOUSE
ENSMUST00000188028	Q6P3Z7	Q6P3Z7_MOUSE
ENSMUST00000195533	A0A0A6YXM4	A0A0A6YXM4_MOUSE
ENSMUST00000189355	P50752	TNNT2_MOUSE
ENSMUST00000189936	Q9WUP7	UCHL5_MOUSE
ENSMUST00000190451	A0A087WQP1	A0A087WQP1_MOUSE
ENSMUST00000188206	Q9R086	Q9R086_MOUSE
ENSMUST00000183301	P06800	PTPRC_MOUSE
ENSMUST00000195274	L0N759	L0N759_MOUSE
ENSMUST00000182660	Q3TLH4	PRC2C_MOUSE
ENSMUST00000195571	Q05CX4	Q05CX4_MOUSE
ENSMUST00000195428	A0A0A6YWQ4	A0A0A6YWQ4_MOUSE
ENSMUST00000189805	A0A087WS37	A0A087WS37_MOUSE
ENSMUST00000194791	A0A0A6YWL9	A0A0A6YWL9_MOUSE
ENSMUST00000183223	S4R2L9	S4R2L9_MOUSE
ENSMUST00000192150	M0QWX6	M0QWX6_MOUSE
ENSMUST00000192069	Q8BYI9	TENR_MOUSE
ENSMUST00000189648	A0A087WQA4	A0A087WQA4_MOUSE
ENSMUST00000186583	Q99MY8	ASH1L_MOUSE
ENSMUST00000183011	S4R2E2	S4R2E2_MOUSE
ENSMUST00000200083	Q8CJ27	ASPM_MOUSE
ENSMUST00000184095	V9GXD4	V9GXD4_MOUSE
ENSMUST00000192343	A0A0A6YXI6	A0A0A6YXI6_MOUSE
ENSMUST00000190872	A0A087WQT3	A0A087WQT3_MOUSE
ENSMUST00000188145	A0A087WR24	A0A087WR24_MOUSE
ENSMUST00000192639	A0A0A6YXQ7	A0A0A6YXQ7_MOUSE
ENSMUST00000188656	A0A087WQU0	A0A087WQU0_MOUSE
ENSMUST00000191228	Q9QW08	PHOS_MOUSE
ENSMUST00000193078	A0A0A6YVP9	A0A0A6YVP9_MOUSE
ENSMUST00000192314	A0A0A6YY67	A0A0A6YY67_MOUSE
ENSMUST00000182283	P06800	PTPRC_MOUSE
ENSMUST00000177023	H3BJ59	H3BJ59_MOUSE
ENSMUST00000177498	H3BJ45	H3BJ45_MOUSE
ENSMUST00000178204	J3QQ13	J3QQ13_MOUSE
ENSMUST00000195760	A0A0A6YX70	A0A0A6YX70_MOUSE
ENSMUST00000182331	S4R298	S4R298_MOUSE
ENSMUST00000201676	A0A0J9YUN5	A0A0J9YUN5_MOUSE
ENSMUST00000193650	A0A0A6YWF2	A0A0A6YWF2_MOUSE
ENSMUST00000194810	A0A0A6YY66	A0A0A6YY66_MOUSE
ENSMUST00000187991	A0A087WQQ3	A0A087WQQ3_MOUSE
ENSMUST00000194592	A0A0A6YWH7	A0A0A6YWH7_MOUSE
ENSMUST00000192024	A0A0A6YW73	A0A0A6YW73_MOUSE
ENSMUST00000185698	A0A087WRK4	A0A087WRK4_MOUSE
ENSMUST00000186402	A0A087WQS3	A0A087WQS3_MOUSE
ENSMUST00000185198	Q9ERD6	RGPS2_MOUSE
ENSMUST00000186572	A0A087WS02	A0A087WS02_MOUSE
ENSMUST00000192357	A0A0A6YY04	A0A0A6YY04_MOUSE
ENSMUST00000178854	P50752	TNNT2_MOUSE
ENSMUST00000191070	A0A087WQK5	A0A087WQK5_MOUSE
ENSMUST00000192457	A0A0A6YWD9	A0A0A6YWD9_MOUSE
ENSMUST00000195438	A0A0A6YX49	A0A0A6YX49_MOUSE
ENSMUST00000238926	A0A5F8MPV0	A0A5F8MPV0_MOUSE
ENSMUST00000212694	A0A1D5RM47	A0A1D5RM47_MOUSE
ENSMUST00000194808	A0A0A6YXV8	A0A0A6YXV8_MOUSE
ENSMUST00000193325	A0A0A6YWY3	A0A0A6YWY3_MOUSE
ENSMUST00000182593	S4R2J9	S4R2J9_MOUSE
ENSMUST00000189661	Q61263	SOAT1_MOUSE
ENSMUST00000193620	A0A0A6YXP1	A0A0A6YXP1_MOUSE
ENSMUST00000192001	Q8C1B1	CAMP2_MOUSE
ENSMUST00000190507	A0A087WPN8	A0A087WPN8_MOUSE
ENSMUST00000192570	A0A0A6YX94	A0A0A6YX94_MOUSE
ENSMUST00000190323	A0A087WPH0	A0A087WPH0_MOUSE
ENSMUST00000187951	B7ZNP0	B7ZNP0_MOUSE
ENSMUST00000189655	A0A087WQ23	A0A087WQ23_MOUSE
ENSMUST00000190784	A0A087WPT2	A0A087WPT2_MOUSE
ENSMUST00020183812	A0A8I4SX99	A0A8I4SX99_MOUSE
ENSMUST00000000001	Q9DC51	GNAI3_MOUSE
ENSMUST00000005532	P10493	NID1_MOUSE
ENSMUST00000004343	Q9CYK1	SYWM_MOUSE
ENSMUST00000010278	Q99J09	MEP50_MOUSE
ENSMUST00000001339	Q9CYX7	RRP15_MOUSE
ENSMUST00000010279	G3X8R9	TMIG3_MOUSE
ENSMUST00000000834	P41047	TNFL6_MOUSE
ENSMUST00000005830	Q9D287	SPF27_MOUSE
ENSMUST00000010319	P48437	PROX1_MOUSE
ENSMUST00000009617	Q8R1C0	KCNC4_MOUSE
ENSMUST00000000573	Q62010	OVGP1_MOUSE
ENSMUST00000019843	Q9WUA6	AKT3_MOUSE
ENSMUST00000023965	Q61406	Q61406_MOUSE
ENSMUST00000027687	Q9CQ37	UBE2T_MOUSE
ENSMUST00000015892	Q922U1	PRPF3_MOUSE
ENSMUST00000016323	Q91VB2	KCC1G_MOUSE
ENSMUST00000027693	E9QLQ7	E9QLQ7_MOUSE
ENSMUST00000027697	Q04899	CDK18_MOUSE
ENSMUST00000021738	A0A0R4J022	A0A0R4J022_MOUSE
ENSMUST00000027740	P53776	LHX4_MOUSE
ENSMUST00000027785	Q80UF4	SDCG8_MOUSE
ENSMUST00000027809	Q9WUK7	OPN3_MOUSE
ENSMUST00000027700	Q8BX09	RBBP5_MOUSE
ENSMUST00000027810	P97807	FUMH_MOUSE
ENSMUST00000027929	Q8VHJ5	MARK1_MOUSE
ENSMUST00000027783	Q9D291	DESI2_MOUSE
ENSMUST00000027921	Q8BIJ6	SYIM_MOUSE
ENSMUST00000027991	Q5D078	Q5D078_MOUSE
ENSMUST00000027730	P12979	MYOG_MOUSE
ENSMUST00000027952	P70207	PLXA2_MOUSE
ENSMUST00000027725	Q8BZM0	KLH12_MOUSE
ENSMUST00000027940	Q9D771	PACC1_MOUSE
ENSMUST00000027931	O35942	NEK2_MOUSE
ENSMUST00000027896	Q91X05	PODO_MOUSE
ENSMUST00000029482	Q8VDU0	GPSM2_MOUSE
ENSMUST00000034464	Q8C3W1	CA198_MOUSE
ENSMUST00000046770	Q9CQ45	NENF_MOUSE
ENSMUST00000035325	Q8BND5	QSOX1_MOUSE
ENSMUST00000045288	P27090	TGFB2_MOUSE
ENSMUST00000034467	G3X912	SPRTN_MOUSE
ENSMUST00000047714	Q80Y84	KDM5B_MOUSE
ENSMUST00000029462	O70306	TBX15_MOUSE
ENSMUST00000045665	Q8BG95	MYPT2_MOUSE
ENSMUST00000034466	P98192	GNPAT_MOUSE
ENSMUST00000029477	Q8BMD8	SCMC1_MOUSE
ENSMUST00000029483	Q99LI2	CLCC1_MOUSE
ENSMUST00000051309	P63056	NOE3_MOUSE
ENSMUST00000051145	Q8CGF6	WDR47_MOUSE
ENSMUST00000045487	Q9EQT3	RHOU_MOUSE
ENSMUST00000041106	Q505D9	TRI67_MOUSE
ENSMUST00000029454	O09161	CASQ2_MOUSE
ENSMUST00000029464	Q9NYQ2	HAOX2_MOUSE
ENSMUST00000044812	E9PY25	E9PY25_MOUSE
ENSMUST00000044190	Q8BMT9	HHAT_MOUSE
ENSMUST00000039538	A2CG63	ARI4B_MOUSE
ENSMUST00000043342	Q9CWQ0	DPH5_MOUSE
ENSMUST00000045279	Q8BFT6	JMJD4_MOUSE
ENSMUST00000044795	Q8R0G9	NU133_MOUSE
ENSMUST00000029456	P08920	CD2_MOUSE
ENSMUST00000047702	O88875	BY55_MOUSE
ENSMUST00000036360	Q8R2K8	CA054_MOUSE
ENSMUST00000040250	Q91WN4	KMO_MOUSE
ENSMUST00000030669	Q61165	SL9A1_MOUSE
ENSMUST00000029447	Q9CPR7	SIKE1_MOUSE
ENSMUST00000029446	Q91W50	CSDE1_MOUSE
ENSMUST00000086153	Q8VCS3	XYLK_MOUSE
ENSMUST00000090678	P62835	RAP1A_MOUSE
ENSMUST00000098312	Q6PGF7	EXOC8_MOUSE
ENSMUST00000099820	Q9JL15	LEG8_MOUSE
ENSMUST00000063717	Q9QZ09	PHTF1_MOUSE
ENSMUST00000086444	A6H644	A6H644_MOUSE
ENSMUST00000068894	Q9CR52	Q9CR52_MOUSE
ENSMUST00000067976	Q6PD03	2A5A_MOUSE
ENSMUST00000052120	Q8BHB4	WDR3_MOUSE
ENSMUST00000090685	Q80YS3	Q80YS3_MOUSE
ENSMUST00000069568	Q8C5I4	Q8C5I4_MOUSE
ENSMUST00000059270	G3X9B1	G3X9B1_MOUSE
ENSMUST00000062264	Q80XU3	NUCKS_MOUSE
ENSMUST00000076952	D3Z4S2	D3Z4S2_MOUSE
ENSMUST00000098750	Q8CDD9	LRIF1_MOUSE
ENSMUST00000059271	Q8K4P7	ST7L_MOUSE
ENSMUST00000099856	A6H5Y3	METH_MOUSE
ENSMUST00000090680	Q9JJY4	DDX20_MOUSE
ENSMUST00000068874	Q9CR52	Q9CR52_MOUSE
ENSMUST00000065793	Q61753	SERA_MOUSE
ENSMUST00000078259	E9QME3	E9QME3_MOUSE
ENSMUST00000076941	Q5NC05	TTF2_MOUSE
ENSMUST00000098751	G3X9P5	G3X9P5_MOUSE
ENSMUST00000064371	Q9EQJ9	MAGI3_MOUSE
ENSMUST00000069652	E9QKE4	E9QKE4_MOUSE
ENSMUST00000097458	Q91WN4	KMO_MOUSE
ENSMUST00000079451	Q6P6P9	Q6P6P9_MOUSE
ENSMUST00000094028	Q5RKN9	Q5RKN9_MOUSE
ENSMUST00000065573	Q7TQC7	GPTC2_MOUSE
ENSMUST00000081752	P63056	NOE3_MOUSE
ENSMUST00000055425	Q8C2F6	Q8C2F6_MOUSE
ENSMUST00000090715	Q3V1D3	AMPD1_MOUSE
ENSMUST00000073279	Q6PGA0	RCOR3_MOUSE
ENSMUST00000099821	Q9JL15	LEG8_MOUSE
