external_gene_name	ensembl_transcript_id	mmusculus_homolog_associated_gene_name
SHE	ENST00000304760	She
TDRD10	ENST00000368482	
UBE2Q1	ENST00000292211	Ube2q1
UBE2Q1-AS1	ENST00000441613	
CHRNB2	ENST00000368476	Chrnb2
AL592078.1	ENST00000421866	
ADAR	ENST00000649021	Adar
KCNN3	ENST00000358505	Kcnn3
PMVK	ENST00000368467	Pmvk
AL451085.1	ENST00000604546	
PBXIP1	ENST00000368463	Pbxip1
Metazoa_SRP	ENST00000600454	
PYGO2	ENST00000368457	Pygo2
AL451085.2	ENST00000605085	
SHC1	ENST00000368453	Shc1
CKS1B	ENST00000308987	Cks1b
MIR4258	ENST00000580920	
FLAD1	ENST00000315144	Flad1
LENEP	ENST00000392487	Lenep
ZBTB7B	ENST00000535420	Zbtb7b
DCST2	ENST00000368424	Dcst2
DCST1	ENST00000295542	Dcst1
DCST1-AS1	ENST00000452962	
ADAM15	ENST00000356955	Adam15
EFNA4	ENST00000368409	Efna4
AL691442.2	ENST00000505139	
EFNA3	ENST00000368408	Efna3
AL691442.1	ENST00000365157	
EFNA1	ENST00000368407	Efna1
SLC50A1	ENST00000368404	Slc50a1
DPM3	ENST00000341298	Dpm3
HMGN2P18	ENST00000450680	
KRTCAP2	ENST00000295682	Krtcap2
TRIM46	ENST00000334634	Trim46
MUC1	ENST00000337604	Muc1
AC234582.1	ENST00000447623	
THBS3	ENST00000368378	Thbs3
MTX1	ENST00000609421	Mtx1
AC234582.2	ENST00000455788	
GBAP1	ENST00000368374	
MTX1P1	ENST00000440904	
GBA	ENST00000327247	Gba
FAM189B	ENST00000361361	Fam189b
SCAMP3	ENST00000302631	Scamp3
CLK2	ENST00000361168	Clk2
HCN3	ENST00000368358	Hcn3
PKLR	ENST00000392414	Pklr
FDPS	ENST00000368356	Fdps
RUSC1-AS1	ENST00000443642	
RUSC1	ENST00000368349	Rusc1
ASH1L	ENST00000392403	Ash1l
RNU6-106P	ENST00000384405	
ASH1L-IT1	ENST00000458371	
RNU6-1297P	ENST00000384415	Gm23958
POU5F1P4	ENST00000413175	
ASH1L-AS1	ENST00000456633	
AL353807.4	ENST00000604995	
DAP3P1	ENST00000441522	
AL353807.1	ENST00000427475	
AL353807.2	ENST00000456382	
MSTO1	ENST00000245564	Msto1
AL353807.3	ENST00000500626	
YY1AP1	ENST00000295566	Gon4l
DAP3	ENST00000368336	Dap3
AL162734.1	ENST00000432858	
MSTO2P	ENST00000314835	
GON4L	ENST00000437809	Gon4l
AL139128.1	ENST00000413921	
SYT11	ENST00000368324	Syt11
RIT1	ENST00000368323	Rit1
KHDC4	ENST00000368321	Khdc4
SNORA80E	ENST00000384744	
RXFP4	ENST00000368318	Rxfp4
ARHGEF2	ENST00000313695	Arhgef2
ARHGEF2-AS1	ENST00000415726	
SSR2	ENST00000295702	Ssr2
UBQLN4	ENST00000368309	Ubqln4
LAMTOR2	ENST00000368305	Lamtor2
RAB25	ENST00000361084	Rab25
MEX3A	ENST00000532414	Mex3a
LMNA	ENST00000368300	Lmna
SEMA4A	ENST00000355014	Sema4a
AL135927.1	ENST00000516427	
SLC25A44	ENST00000359511	Slc25a44
PMF1-BGLAP	ENST00000490491	
PMF1	ENST00000368277	Pmf1
BGLAP	ENST00000368272	Bglap
BGLAP	ENST00000368272	Bglap2
BGLAP	ENST00000368272	Bglap3
PAQR6	ENST00000292291	Paqr6
SMG5	ENST00000361813	Smg5
TMEM79	ENST00000295694	Tmem79
GLMP	ENST00000362007	Glmp
VHLL	ENST00000339922	Vhl
CCT3	ENST00000295688	Cct3
TSACC	ENST00000368255	Tsacc
RHBG	ENST00000537040	Gm38392
RHBG	ENST00000537040	Rhbg
AL139130.1	ENST00000451362	
C1orf61	ENST00000615748	
MIR9-1	ENST00000385198	Mir9-1
MEF2D	ENST00000464356	Mef2d
Y_RNA	ENST00000383924	
AL365181.1	ENST00000564032	
IQGAP3	ENST00000361170	Iqgap3
TTC24	ENST00000368236	Ttc24
NAXE	ENST00000368235	Naxe
GPATCH4	ENST00000368232	Gpatch4
HAPLN2	ENST00000255039	Hapln2
AL365181.2	ENST00000606343	
BCAN	ENST00000329117	Bcan
AL365181.3	ENST00000605886	
AL590666.2	ENST00000448869	
NES	ENST00000368223	Nes
AL590666.3	ENST00000441272	
CRABP2	ENST00000621784	Crabp2
AL590666.1	ENST00000428641	
ISG20L2	ENST00000313146	Isg20l2
RRNAD1	ENST00000368216	Rrnad1
MRPL24	ENST00000368211	Mrpl24
HDGF	ENST00000357325	Hdgf
PRCC	ENST00000271526	Prcc
SH2D2A	ENST00000368199	Sh2d2a
NTRK1	ENST00000524377	Ntrk1
INSRR	ENST00000368195	Insrr
PEAR1	ENST00000338302	Pear1
LRRC71	ENST00000337428	Lrrc71
ARHGEF11	ENST00000368194	Arhgef11
MIR765	ENST00000390226	
RN7SL612P	ENST00000497704	
SMU1P1	ENST00000379752	
KRT8P45	ENST00000414328	
ETV3L	ENST00000672100	ETV3L
ETV3	ENST00000368192	Etv3
CYCSP52	ENST00000422857	
AL357143.1	ENST00000457239	
AL138900.1	ENST00000449345	
LINC02772	ENST00000662968	
FCRL5	ENST00000361835	Fcrl5
FCRL4	ENST00000271532	
AL135929.2	ENST00000445687	
AL135929.1	ENST00000449287	
FCRL3	ENST00000368184	
AL356276.1	ENST00000453692	
AL356276.2	ENST00000435919	
VDAC1P9	ENST00000412766	
FCRL2	ENST00000361516	Fcrls
FCRL1	ENST00000368176	Fcrl1
CD5L	ENST00000368174	Cd5l
MRPS21P2	ENST00000424704	
AL139010.1	ENST00000452528	
KIRREL1	ENST00000359209	Kirrel
KIRREL1-IT1	ENST00000419415	
LINC01704	ENST00000665549	
ELL2P1	ENST00000413990	
CD1D	ENST00000368171	Cd1d2
CD1D	ENST00000368171	Cd1d1
AL138899.2	ENST00000439139	
AL138899.1	ENST00000415019	
CD1A	ENST00000289429	
HMGN1P5	ENST00000448591	
CD1C	ENST00000368170	
CD1B	ENST00000368168	
CD1E	ENST00000368167	
OR10T2	ENST00000334438	
OR10K2	ENST00000641042	
OR10T1P	ENST00000424327	
EI24P2	ENST00000397776	
OR10K1	ENST00000641432	
OR10R2	ENST00000368152	
AL365440.2	ENST00000419738	
OR10R3P	ENST00000361688	
OR10R1P	ENST00000441524	
AL365440.1	ENST00000436135	
OR6Y1	ENST00000641622	Olfr414
OR6P1	ENST00000641540	Olfr220
OR10Z1	ENST00000641002	Olfr419
SPTA1	ENST00000643759	Spta1
OR6K1P	ENST00000456766	
OR6K2	ENST00000359610	Olfr420
OR6K3	ENST00000368145	Olfr424
OR6K4P	ENST00000423179	
OR6K5P	ENST00000447050	
OR6N1	ENST00000641846	Olfr429
OR6K6	ENST00000368144	Olfr231
OR6N2	ENST00000641131	Olfr430
OR2AQ1P	ENST00000451972	
OR10AA1P	ENST00000417823	
MNDA	ENST00000368141	Mndal
MNDA	ENST00000368141	Ifi205
MNDA	ENST00000368141	Ifi211
MNDA	ENST00000368141	Ifi204
PYHIN5P	ENST00000431627	
PYHIN1	ENST00000368140	Ifi213
PYHIN1	ENST00000368140	Ifi214
PYHIN1	ENST00000368140	Ifi208
IFI16	ENST00000368131	Ifi213
IFI16	ENST00000368131	Ifi214
IFI16	ENST00000368131	Ifi208
AIM2	ENST00000368130	Aim2
RAD1P2	ENST00000446414	
CADM3	ENST00000368124	Cadm3
RNA5SP60	ENST00000410620	
CADM3-AS1	ENST00000609696	
ACKR1	ENST00000537147	Ackr1
MPTX1	ENST00000480235	
OR10J2P	ENST00000514684	
FCER1A	ENST00000368115	Fcer1a
OR10J3	ENST00000332217	Olfr1404
OR10J3	ENST00000332217	Olfr218
AL513323.1	ENST00000431862	
OR10J7P	ENST00000503933	
OR10J8P	ENST00000504659	
OR10J9P	ENST00000511932	
OR10J4	ENST00000504970	
OR10J1	ENST00000642080	
LINC02819	ENST00000412932	
OR10J5	ENST00000334857	Olfr16
AL606752.1	ENST00000435442	
OR10AE1P	ENST00000606962	
APCS	ENST00000255040	Apcs
OR10J6P	ENST00000289731	
CRPP1	ENST00000412857	
CRP	ENST00000255030	Crp
AL445528.1	ENST00000426330	
DUSP23	ENST00000368109	Dusp23
FCRL6	ENST00000368106	Fcrl6
SLAMF8	ENST00000289707	Slamf8
AL590560.2	ENST00000536779	
SNHG28	ENST00000644477	
AL590560.1	ENST00000390859	Snord64
VSIG8	ENST00000368100	Vsig8
CFAP45	ENST00000368099	Cfap45
MIR4259	ENST00000584466	
TAGLN2	ENST00000368097	Tagln2
IGSF9	ENST00000368094	Igsf9
SLAMF9	ENST00000368093	Slamf9
LINC01133	ENST00000635112	
KCNJ10	ENST00000644903	Kcnj10
AL513302.1	ENST00000415679	
PIGM	ENST00000368090	Pigm
AL121987.1	ENST00000435580	
KCNJ9	ENST00000368088	Kcnj9
IGSF8	ENST00000614243	Igsf8
ATP1A2	ENST00000361216	Atp1a2
ATP1A4	ENST00000368081	Atp1a4
CASQ1	ENST00000368078	Casq1
AL121987.2	ENST00000418602	
PEA15	ENST00000360472	Pea15a
DCAF8	ENST00000368074	Dcaf8
AL139011.2	ENST00000485079	Pex19
AL139011.1	ENST00000656013	
RPSAP18	ENST00000453374	
PEX19	ENST00000368072	Pex19
COPA	ENST00000241704	Copa
SUMO1P3	ENST00000439961	
Y_RNA	ENST00000365208	
NCSTN	ENST00000294785	Ncstn
NHLH1	ENST00000302101	Nhlh1
RNU4-42P	ENST00000364738	
VANGL2	ENST00000368061	Vangl2
SLAMF6	ENST00000368059	Slamf6
AL138930.1	ENST00000446952	
CD84	ENST00000368054	Cd84
SLAMF1	ENST00000302035	Slamf1
SETP9	ENST00000423837	
AL121985.1	ENST00000598917	
CD48	ENST00000368046	Cd48
SLAMF7	ENST00000368043	Slamf7
LY9	ENST00000263285	Ly9
CD244	ENST00000368034	Cd244a
PPIAP37	ENST00000447284	
ITLN1	ENST00000326245	Itln1
AL354714.2	ENST00000425270	
AL354714.3	ENST00000427339	
AL354714.1	ENST00000356006	
AL354714.4	ENST00000450131	
ITLN2	ENST00000368029	
F11R	ENST00000368026	F11r
AL591806.3	ENST00000289779	
AL591806.1	ENST00000433122	
TSTD1	ENST00000318289	Tstd1
USF1	ENST00000368021	Usf1
ARHGAP30	ENST00000368016	Arhgap30
NECTIN4	ENST00000368012	Nectin4
NECTIN4-AS1	ENST00000447167	
KLHDC9	ENST00000368011	Klhdc9
PFDN2	ENST00000368010	Pfdn2
NIT1	ENST00000368009	Nit1
DEDD	ENST00000545495	Dedd
AL591806.2	ENST00000459014	Snora78
UFC1	ENST00000368003	Ufc1
AL590714.1	ENST00000420498	
USP21	ENST00000289865	Usp21
PPOX	ENST00000352210	Ppox
B4GALT3	ENST00000622395	B4galt3
ADAMTS4	ENST00000367996	Adamts4
NDUFS2	ENST00000367993	Ndufs2
FCER1G	ENST00000289902	Fcer1g
APOA2	ENST00000367990	Apoa2
TOMM40L	ENST00000367988	Tomm40l
NR1I3	ENST00000367983	Nr1i3
PCP4L1	ENST00000504449	Pcp4l1
MPZ	ENST00000672287	Mpz
SDHC	ENST00000367975	Sdhc
CFAP126	ENST00000367974	Cfap126
RRM2P2	ENST00000436212	
RNU6-481P	ENST00000384194	Gm25851
AL592295.1	ENST00000400984	
FCGR2A	ENST00000367972	Fcgr2b
FCGR2A	ENST00000367972	Fcgr3
HSPA6	ENST00000309758	
RPS23P10	ENST00000416185	
AL590385.1	ENST00000419446	
FCGR2C	ENST00000543859	Fcgr2b
FCGR2C	ENST00000543859	Fcgr3
HSPA7	ENST00000445535	
RPS23P9	ENST00000448848	
FCGR3B	ENST00000367964	Fcgr4
FCGR2B	ENST00000358671	Fcgr2b
FCGR2B	ENST00000358671	Fcgr3
AL451067.1	ENST00000453111	
RPL31P11	ENST00000426558	
Y_RNA	ENST00000362725	
FCRLA	ENST00000236938	Fcrla
FCRLB	ENST00000367948	Fcrlb
RN7SL466P	ENST00000497546	
DUSP12	ENST00000367943	Dusp12
AL359541.1	ENST00000431097	
ATF6	ENST00000367942	Atf6
AL391825.1	ENST00000457671	
OLFML2B	ENST00000294794	Olfml2b
AL590408.1	ENST00000430905	
NOS1AP	ENST00000530878	Nos1ap
MIR4654	ENST00000577581	
AL512785.1	ENST00000447899	
RNA5SP61	ENST00000516453	
MIR556	ENST00000384996	
AL512785.2	ENST00000420220	Gm7694
SPATA46	ENST00000367935	Spata46
C1orf226	ENST00000426197	
SH2D1B	ENST00000367929	Sh2d1b1
SH2D1B	ENST00000367929	Sh2d1b2
SLAMF6P1	ENST00000451067	
